hora,temp,press,ventvel,rad,chuva,act,classe
2,24.4,1008.7,0,-3.54,0,0.24,normal
3,24.3,1009.1,0,-3.54,0,0.274,normal
4,24.7,1009.9,0.1,36.71,0,0.741,normal
5,26.2,1010.8,0.7,189.7,0,1.243,normal
6,28.6,1011.4,1.4,307,0,1.517,normal
7,29.1,1011.6,1.1,813.4,0,1.646,normal
8,29.1,1011.8,1.5,1683,0,1.795,normal
9,29.5,1011.5,1.5,2184,0,1.357,normal
10,30.7,1010.7,2.7,2339,0,1.027,normal
11,31.2,1009.6,1.9,2479,0,1.061,normal
12,29.9,1008.7,1.8,1510,0,0.837,normal
13,31.2,1008.3,1.5,1413,0,0.821,normal
14,30.4,1008.5,1.4,1100,0,0.764,normal
15,28.7,1009.3,1.3,197.1,0,0.802,normal
16,27.3,1009.5,0.9,4.113,0,0.859,normal
17,26.7,1010.4,1.1,-3.53,0,0.707,normal
18,26.2,1011.3,0.6,-2.94,0,0.099,normal
19,26.2,1012.1,0.6,-2.3,0,0.08,normal
20,26.2,1012.1,0.5,-1.46,0,0.053,normal
21,25.8,1011.6,0.5,-3.22,0,0.095,normal
22,25.3,1011,0.4,-3.54,0,0.091,normal
23,24.7,1010,0,-3.54,0,0.084,normal
0,24.7,1008.8,0.1,-3.54,0,0.103,normal
1,24.4,1008.4,0,-3.54,0,0.148,normal
2,24.2,1008.5,0,-3.54,0,0.089,normal
3,23.7,1009,0,-3.54,0,0.275,anormal
4,24.1,1009.7,0,36.38,0,0.68,anormal
5,25.7,1010.5,1,167.6,0,1.519,normal
6,28.2,1011,1.5,321.2,0,1.667,normal
7,29.3,1011.4,1.9,862.6,0,1.347,normal
8,29.5,1011.4,1.7,1563,0,1.265,normal
9,29.2,1010.7,2.2,2160,0,1.364,normal
10,29.1,1009.9,2.3,1621,0,1.265,normal
11,31.3,1008.7,2.9,2900,0,0.955,normal
12,31.2,1007.8,2.3,2189,0,0.615,normal
13,31.1,1007.1,1.9,1962,0,0.57,normal
14,30.8,1007.6,1.8,1080,0,0.722,normal
15,29.9,1008.2,0.6,242.2,0,0.577,normal
16,25.5,1009.8,1.5,2.591,0,0.66,normal
17,24.4,1010.7,1,-3.54,0.4,0.426,normal
18,24.4,1011.3,0,-2.43,0.4,0.027,normal
19,24.8,1011,0.1,-2.23,0,0.003,normal
20,25.2,1011.6,0.1,-0.51,0,0,normal
21,24.9,1011.5,0,-1.87,0,0.003,normal
22,24.7,1010.8,0,-3.23,0,0.003,normal
23,23.9,1010,0,-3.54,0,0.014,normal
0,23.7,1009.4,0,-3.5,0,0,normal
1,23.8,1009.2,0,-3.53,0,0.012,normal
2,23.6,1009.2,0,-3.48,0,0.048,normal
3,23.6,1009.8,0,-3.54,0,0.132,normal
4,23.6,1010.7,0,38.95,0,0.369,anormal
5,25.4,1011.3,0,182.5,0,0.814,normal
6,26.8,1011.8,1.3,343.2,0.2,1.405,normal
7,28,1012.1,1.9,773.2,0,1.598,normal
8,28.6,1012.1,2.7,1785,0,1.492,normal
9,29.8,1011.6,2.8,2773,0,1.207,normal
10,29.9,1010.7,3.8,3169,0,1.072,normal
11,30.4,1009.9,2.5,2627,0,0.964,normal
12,30.9,1008.9,2.4,2287,0,0.754,normal
13,30.8,1008.6,2.9,1980,0,0.892,normal
14,30.1,1008.5,1.6,1266,0,0.61,normal
15,29.2,1009,0.6,172.2,0,0.399,normal
16,27.5,1009.7,0.1,4.253,0,0.604,normal
17,26.6,1010.3,0,-3.54,0,0.393,normal
18,27.2,1011.3,0.9,-2.18,0,0.078,normal
19,26.3,1011.8,0.3,-3.2,0,0.018,normal
20,26,1011.9,0.6,-2.34,0,0.048,normal
21,25.5,1011.7,0.4,-3.54,0,0.066,normal
22,25.1,1011,0.5,-3.54,0,0.165,normal
23,24.6,1010.2,0.4,-3.54,0,0.093,normal
0,24,1009.8,0,-3.54,0,0.065,normal
1,23.7,1009.8,0,-3.54,0,0.053,normal
2,23.5,1010,0,-3.54,0,0.123,normal
3,23.2,1010.3,0,-3.54,0,0.158,normal
4,23.5,1010.9,0,36.46,0,0.39,normal
5,25.7,1011.5,0.7,150.6,0,0.801,normal
6,28.5,1011.9,1.4,232.4,0,1.144,normal
7,29.5,1012.1,1.7,369.1,0,1.252,normal
8,30.4,1011.7,2.6,2650,0,1.232,normal
9,32.2,1011,1.7,3001,0,1.109,normal
10,30.5,1010.3,2.9,2360,0,0.941,normal
11,32,1009.6,2.8,2738,0,0.933,normal
12,32.3,1009.2,2.4,2615,0,0.968,normal
13,31.5,1008.8,1.9,1578,0,0.721,normal
14,30.9,1008.7,1,1109,0,0.431,normal
15,29.7,1008.8,0.8,247.7,0,0.507,normal
16,27.9,1009.5,0.2,7.251,0,0.543,normal
17,27.4,1010.2,0,-3,0,0.355,normal
18,28,1011.3,1.1,-3.01,0,0.056,normal
