hora,temp,press,ventvel,rad,chuva,act,classe
10,317,10106,14,3268,0,1234,anormal
11,318,10099,25,2952,0,7521430059,normal
12,316,10092,22,2412,0,4464968889,normal
13,317,10089,13,1916,0,821,normal
14,308,1009,8,8858,0,912,normal
15,292,10094,14,1299,0,5,normal
16,281,10099,11,7268,0,373,normal
17,277,10108,9,-354,0,272,normal
18,273,10114,5,-344,0,56,normal
19,269,10118,7,-216,0,4,normal
20,262,10116,4,-354,0,34,normal
21,258,10112,2,-354,0,52,normal
22,256,10103,7,-354,0,37,normal
23,251,10094,3,-354,0,45,normal
0,246,10088,3,-354,0,125,normal
1,245,10087,1,-354,0,65,normal
2,244,10087,0,-354,0,24,anormal
3,243,10091,0,-354,0,274,normal
4,247,10099,1,3671,0,741,anormal
5,262,10108,7,1897,0,1243,normal
6,286,10114,14,307,0,1517,normal
7,291,10116,11,8134,0,1646,normal
8,291,10118,15,1683,0,1795,normal
9,295,10115,15,2184,0,1357,anormal
10,307,10107,27,2339,0,1027,normal
11,312,10096,19,2479,0,1061,normal
12,299,10087,18,1510,0,837,normal
13,312,10083,15,1413,0,821,normal
14,304,10085,14,1100,0,764,normal
15,287,10093,13,1971,0,802,normal
16,273,10095,9,4113,0,859,normal
17,267,10104,11,-353,0,707,normal
18,262,10113,6,-294,0,99,anormal
19,262,10121,6,-23,0,8,normal
20,262,10121,5,-146,0,53,normal
21,258,10116,5,-322,0,95,normal
22,253,1011,4,-354,0,91,normal
23,247,1010,0,-354,0,84,normal
0,247,10088,1,-354,0,103,normal
1,244,10084,0,-354,0,148,normal
2,242,10085,0,-354,0,89,normal
3,237,1009,0,-354,0,275,anormal
4,241,10097,0,3638,0,68,anormal
5,257,10105,1,1676,0,1519,normal
6,282,1011,15,3212,0,1667,normal
7,293,10114,19,8626,0,1347,normal
8,295,10114,17,1563,0,1265,normal
9,292,10107,22,2160,0,1364,normal
10,291,10099,23,1621,0,1265,normal
11,313,10087,29,2900,0,955,normal
12,312,10078,23,2189,0,615,normal
13,311,10071,19,1962,0,57,normal
14,308,10076,18,1080,0,722,normal
15,299,10082,6,2422,0,577,normal
16,255,10098,15,2591,0,66,normal
17,244,10107,1,-354,4,426,normal
18,244,10113,0,-243,4,27,normal
19,248,1011,1,-223,0,3,normal
20,252,10116,1,-51,0,0,normal
21,249,10115,0,-187,0,3,normal
22,247,10108,0,-323,0,3,normal
23,239,1010,0,-354,0,14,normal
0,237,10094,0,-35,0,0,normal
1,238,10092,0,-353,0,12,normal
2,236,10092,0,-348,0,48,normal
3,236,10098,0,-354,0,132,normal
4,236,10107,0,3895,0,369,normal
5,254,10113,0,1825,0,814,normal
6,268,10118,13,3432,2,1405,normal
7,28,10121,19,7732,0,1598,normal
8,286,10121,27,1785,0,1492,normal
9,298,10116,28,2773,0,1207,normal
10,299,10107,38,3169,0,1072,normal
11,304,10099,25,2627,0,964,normal
12,309,10089,24,2287,0,754,normal
13,308,10086,29,1980,0,892,normal
14,301,10085,16,1266,0,61,normal
15,292,1009,6,1722,0,399,normal
16,275,10097,1,4253,0,604,normal
